<<<<<<< HEAD
model_id,training_cutoff_date,cutoff_confidence
llama2-70b,2022-09-30,high
bloom-176b,2022-07-01,high
gpt-3.5-turbo,2021-09-01,medium
deepseek-llm-67b,2023-03-01,medium
claude-3-haiku,2023-08-01,low
=======
model_name,cutoff_date,notes
gpt-4o,2023-10-01,Representative public cutoff window.
gpt-4.1,2024-06-01,Approximate API-era cutoff window.
claude-3.5-sonnet,2024-04-01,Publicly reported training horizon.
llama-3.1-70b,2023-12-01,Open-weights release generation cutoff proxy.
>>>>>>> origin/main
