year,title,pdf_link,Type,ODPs links,Requirements?,Scenario,CQ
2023,Cross-domain Modelling - A Network of Core Ontologies for the Circular Economy,https://ceur-ws.org/Vol-3636/paper1.pdf,Ontology,https://liusemweb.github.io/CEON/,Yes,,
2023,OWL Paths: A library for processing SPARQL-like property paths over OWL classes,https://ceur-ws.org/Vol-3636/paper2.pdf,Other,,N/A,,
2023,Pattern-based design for modelling an ontology network in the water and health domains,https://ceur-ws.org/Vol-3636/paper3.pdf,Ontology,http://ontologydesignpatterns.org/wiki/Submissions:PartOf,Yes,,
2023,An Ontology Design Pattern for Representing Causality,https://ceur-ws.org/Vol-3636/paper4.pdf,ODP,https://github.com/utkarshani/CausalPattern,Yes (CQs + use case),,
2023,Using Patterns to Manage Governance of Solid Apps,https://ceur-ws.org/Vol-3636/paper5.pdf,Other,https://github.com/coolharsh55/plasma/tree/main/odps,Yes (CQs),,
2023,An Ontology Design Pattern for Role-Dependent Names,https://ceur-ws.org/Vol-3636/paper6.pdf,ODP,https://github.com/odpa/patterns-repository/tree/master/RoleDependentNames,Yes (CQs+scenario),,
2023,Modelling Sustainability for an IoT-enabled Smart Green Campus using an Ontology-based Approach,https://ceur-ws.org/Vol-3636/paper7.pdf,Ontology,,Not really,,
2023,Insights from an OTTR-centric Ontology Engineering Methodology,https://ceur-ws.org/Vol-3636/paper8.pdf,Methodology,,N/A,,
2023,Pattern Comparison of is-a Concepts for Ontology Localisation,https://ceur-ws.org/Vol-3636/paper9.pdf,Evaluation,,N/A,,
2023,SAREF4SYST: a SAREF Reference Ontology Pattern for Representing Systems and their Interconnections,https://ceur-ws.org/Vol-3636/paper10.pdf,Ontology,https://saref.etsi.org/index.html,use case only (we can ask),,
2024,Kind of X and X of Interest: An Ontology Design Pattern to Reconcile Web of Thing Ontologies,https://hal.science/hal-04765079v1/document,Ontology,https://coswot.gitlab.io/,use case only (we can ask),,
2024,One pattern to express them all? Towards Generalised Patterns for Ontology Design in the Digital Humanities,https://openreview.net/attachment?id=31KShmkYjKQmEqHcXRqDaa&name=pdf,Review,,N/A,,
2024,Phased Evaluation of Ontologies with Domain and Ontology Experts,https://openreview.net/pdf?id=iZ17DHWe7v,Evaluation Study,,N/A,,
2024,Towards Computable and Explainable Policies Using Semantic Web Standards,https://openreview.net/pdf?id=i4Jcu0p87D,Other,,N/A (could be extracted from paper or we can ask),,
2024,Ontology Design Metapattern for RelationType Role Compositions,https://openreview.net/attachment?id=CJtuqSHwgkky4M2B3v6Yvh&name=pdf,Other,,N/A (could be extracted from paper or we can ask),,
2024,IndiLegalOnt: An Ontology for the Indian Legal System,https://openreview.net/pdf?id=HPGx7Stmse,Ontology,https://github.com/kracr/indian-legal-ontology,Yes (CQs),,
2025,Is SHACL Suitable for Data Quality Assessment?,https://ceur-ws.org/Vol-4093/paper1.pdf,Other,,N/A,,
2025,AISHIP: An Ontology for Extended Vessel Representation and Multimodal Data Integration,https://ceur-ws.org/Vol-4093/paper2.pdf,Ontology,https://github.com/BurbachS/AISHIPOntology,Yes (CQs+scenario),,
2025,BEAR: A Value-First Ontology Engineering Framework for Business Ecosystem Analysis and Representation,https://ceur-ws.org/Vol-4093/paper3.pdf,Other,,N/A,,
2025,ARGOS: Ontology Design Patterns for Governing Dynamic Data Operations in LLM-Powered Applications,https://ceur-ws.org/Vol-4093/paper4.pdf,Ontology,https://tetherless-world.github.io/argos,Yes,,
2025,MQTT4SSN: An Ontology for the MQTT Message Protocol,https://ceur-ws.org/Vol-4093/paper7.pdf,Ontology,https://doernern.github.io/MQTT4SSNOntology/MQTT4SSN.owl,Yes (CQs),,https://github.com/doernern/MQTT4SSNOntology/blob/main/CQs/MQTT4SSN_CQs.txt
2025,Capturing Requests and Context for ODRL-based Access and Usage Control,https://ceur-ws.org/Vol-4093/paper5.pdf,Ontology,https://spec.knows.idlab.ugent.be/sotw/latest/,Yes (CQs),,
2025,Incentivizing Sustainable Data Exchanges through Unique Contextualization of History and Destiny,https://ceur-ws.org/Vol-4093/paper6.pdf,Other,,N/A,,
2025,An Ontology Design Pattern for Representing Temporal Indirection,https://ceur-ws.org/Vol-4093/paper8.pdf,ODP,https://github.com/YuliaS/temporal_indirection,N/A,github link is not available,
