"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_student_level","q_q_time_to_understand","q_q_documentation_clarity","q_q_naming_clarity","q_q_adoption","q_q_adoption_justification","q_q_time_saved"
53,3,students evaluation,161,2,ILgc35m-jqmMAb9RSfbbGXbSquOJi01RvuFbM_xuPfE,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-02/ontology.ttl,2026-04-10T07:15:01.731000,2026-04-10T13:31:41.409000,47983,47s,2026-04-10T13:31:54.272290,22649121,6h 17m 29s,PhD,10,2,4,No,"Does not model competency questions, missing concepts",0%
54,3,students evaluation,161,2,ILgc35m-jqmMAb9RSfbbGXbSquOJi01RvuFbM_xuPfE,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-02/ontology.ttl,2026-04-10T13:04:50.710000,2026-04-10T13:31:49.754000,8345,8s,2026-04-10T13:31:54.272299,22649121,6h 17m 29s,PhD,10,3,3,No,"Competency questions modeled as classes, time is considered as a class, missing concepts,...",1–25%
55,3,students evaluation,161,2,ILgc35m-jqmMAb9RSfbbGXbSquOJi01RvuFbM_xuPfE,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2024-145-01/ontology.ttl,2026-04-10T13:13:11.191000,2026-04-10T13:31:56.225000,6471,6s,2026-04-10T13:31:54.272303,22649121,6h 17m 29s,PhD,5min,1,2,No,"Logical inconsistency, core concepts are missing, modeling errors, no coverage of cqs",0%
56,3,students evaluation,161,2,ILgc35m-jqmMAb9RSfbbGXbSquOJi01RvuFbM_xuPfE,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2024-145-01/ontology.ttl,2026-04-10T13:21:09.067000,2026-04-10T13:32:01.191000,4966,4s,2026-04-10T13:31:54.272306,22649121,6h 17m 29s,PhD,5,3,4,Maybe,Missing relations but good as a starting conceptual point. ,26–50%
61,3,students evaluation,173,4,wf2eByZqikBGNq1nsDJP9mNbAV9ciYhdi53g7J9IBM0,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-02/ontology.ttl,2026-04-10T14:21:15.733000,2026-04-10T14:28:41.692000,445959,7m 25s,2026-04-10T14:43:40.992667,1408163,23m 28s,PhD,10,3,3,Maybe,"(Javad here, if you want ill explain in a call) Since there is no SubClassOf relation and very little Object Properties would be hard for me to understand the role of each class in the ontology (sub class tells me class A is very related to B, and domain range restictions tells me more on relations)",26–50%
62,3,students evaluation,173,4,wf2eByZqikBGNq1nsDJP9mNbAV9ciYhdi53g7J9IBM0,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-02/ontology.ttl,2026-04-10T14:28:41.692000,2026-04-10T14:31:24.434000,162742,2m 42s,2026-04-10T14:43:40.992677,1408163,23m 28s,PhD,2,4,4,Maybe,"Similar to previous comment, however, simpler names and smaller ontology makes me understand it faster and better",51–75%
63,3,students evaluation,173,4,wf2eByZqikBGNq1nsDJP9mNbAV9ciYhdi53g7J9IBM0,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-04-10T14:31:24.435000,2026-04-10T14:39:28.374000,483939,8m 3s,2026-04-10T14:43:40.992681,1408163,23m 28s,PhD,6 (visualization tool failed so had to read more about OPs),2,5,Maybe,"Honestly i would hide LLM name in the URL to aviod bias. now knowing 8B Lllama created it, i have to think longer ...
 Done
NameChange does not have a time, so if I add that, I think it is almost complete.",51–75%
64,3,students evaluation,173,4,wf2eByZqikBGNq1nsDJP9mNbAV9ciYhdi53g7J9IBM0,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-04-10T14:39:28.374000,2026-04-10T14:43:39.428000,251054,4m 11s,2026-04-10T14:43:40.992684,1408163,23m 28s,PhD,"4 (even though it is the same question, the Turtle is linear and harder to read)",2,4,No,"no domain and range, write seems easy to be between book and author but ""Show the trajectories of rivers which cross national parks?"" is not modelled",1–25%
111,3,students evaluation,267,14,WI1T1Ssh0ls7VHqCbdENH8OXCuQL_uIvhlVg6P_og70,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-149-01/ontology.ttl,2026-04-23T09:03:11.196000,2026-04-23T09:08:38.534000,327338,5m 27s,2026-04-23T09:35:26.628972,2032888,33m 52s,MSc,4,4,4,Maybe,"Basic concepts are represented, CQs, however, not sufficiently covered.",1–25%
112,3,students evaluation,267,14,WI1T1Ssh0ls7VHqCbdENH8OXCuQL_uIvhlVg6P_og70,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-149-01/ontology.ttl,2026-04-23T09:08:38.534000,2026-04-23T09:10:21.765000,103231,1m 43s,2026-04-23T09:35:26.628980,2032888,33m 52s,MSc,2,4,4,Yes,Models more of the CQs,26–50%
113,3,students evaluation,267,14,WI1T1Ssh0ls7VHqCbdENH8OXCuQL_uIvhlVg6P_og70,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-02/ontology.ttl,2026-04-23T09:10:21.765000,2026-04-23T09:33:03.346000,1361581,22m 41s,2026-04-23T09:35:26.628984,2032888,33m 52s,MSc,4,3,3,No,CQs seem to not match Scenario,0%
114,3,students evaluation,267,14,WI1T1Ssh0ls7VHqCbdENH8OXCuQL_uIvhlVg6P_og70,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-02/ontology.ttl,2026-04-23T09:33:03.346000,2026-04-23T09:35:26.498000,143152,2m 23s,2026-04-23T09:35:26.628988,2032888,33m 52s,MSc,3,3,4,Maybe,"Pattern matches more closely the CQs. CQs, however, still different to scenario provided.",26–50%
