```turtle
@prefix owl:  <http://www.w3.org/2002/07/owl#>.
@prefix rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>.
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>.
@prefix xsd:  <http://www.w3.org/2001/XMLSchema#>.
@prefix :     <http://example.org/odp#>.

:Ontology a owl:Ontology ;
  rdfs:label "Temporal Indirection in Financial Information Systems" ;
  rdfs:comment "Modeling persistent identifiers for dynamic concepts.".

:Contract a owl:Class ;
  rdfs:label "Contract" ;
  rdfs:comment "A dynamic concept with a persistent identifier.".

:ContractInstance a owl:Class ;
  rdfs:label "Contract Instance" ;
  rdfs:comment "A specific instance of a contract at a particular time.".

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:equivalentClass :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :ContractInstance.

:ContractInstance a owl:disjointWith :Contract.

:ContractInstance a owl:disjointWith :
